image data,label
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 249 243]
 [246 246 246 ... 246 237 233]
 [ 66  66  66 ...  66  66  66]]",subject09
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject14
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 241 252 255]
 [246 246 246 ... 230 231 244]
 [ 66  66  66 ...  66  66  66]]",subject10
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 253 255]
 [246 246 246 ... 243 243 246]
 [ 66  66  66 ...  66  66  66]]",subject15
"[[105  91  98 ... 217 226 235]
 [226 204 220 ... 238 238 237]
 [254 252 253 ... 254 254 254]
 ...
 [187 182 185 ... 243 221 221]
 [182 180 180 ... 226 199 199]
 [ 67  67  67 ...  66  66  66]]",subject06
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject03
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 207 201 202]
 [246 246 246 ... 215 206 209]
 [ 66  66  66 ...  66  66  66]]",subject13
"[[128 128 128 ... 254 247 253]
 [249 249 249 ... 255 249 253]
 [255 255 255 ... 236 242 255]
 ...
 [255 255 255 ...  37  36  38]
 [246 246 246 ...  39  37  37]
 [ 66  66  66 ...  68  68  68]]",subject08
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 240 243 252]
 [246 246 246 ... 216 209 224]
 [ 66  66  66 ...  66  66  66]]",subject04
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject01
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 227 236 245]
 [246 246 246 ... 205 198 213]
 [ 66  66  66 ...  66  66  66]]",subject04
"[[128 128 128 ... 255 255 255]
 [249 249 249 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [246 246 246 ... 246 246 246]
 [ 66  66  66 ...  66  66  66]]",subject02
